ICD_CODE,LONG_DESCRIPTION,ELIXHAUSER_GROUP
M06.99,"Rheumatoid arthritis, unspecified, site unspecified",RHEUMATOID_ARTHRITIS
M08.00,"Juvenile rheumatoid arthritis, multiple sites",RHEUMATOID_ARTHRITIS
M08.01,"Juvenile rheumatoid arthritis, shoulder region",RHEUMATOID_ARTHRITIS
M08.02,"Juvenile rheumatoid arthritis, upper arm",RHEUMATOID_ARTHRITIS
M08.03,"Juvenile rheumatoid arthritis, forearm",RHEUMATOID_ARTHRITIS
M08.04,"Juvenile rheumatoid arthritis, hand",RHEUMATOID_ARTHRITIS
M08.05,"Juvenile rheumatoid arthritis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M08.06,"Juvenile rheumatoid arthritis, lower leg",RHEUMATOID_ARTHRITIS
M08.07,"Juvenile rheumatoid arthritis, ankle and foot",RHEUMATOID_ARTHRITIS
M08.08,"Juvenile rheumatoid arthritis, other site",RHEUMATOID_ARTHRITIS
M08.09,"Juvenile rheumatoid arthritis, site unspecified",RHEUMATOID_ARTHRITIS
M08.10,"Juvenile ankylosing spondylitis, multiple sites",RHEUMATOID_ARTHRITIS
M08.11,"Juvenile ankylosing spondylitis, shoulder region",RHEUMATOID_ARTHRITIS
M08.12,"Juvenile ankylosing spondylitis, upper arm",RHEUMATOID_ARTHRITIS
M08.13,"Juvenile ankylosing spondylitis, forearm",RHEUMATOID_ARTHRITIS
M08.14,"Juvenile ankylosing spondylitis, hand",RHEUMATOID_ARTHRITIS
M08.15,"Juvenile ankylosing spondylitis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M08.16,"Juvenile ankylosing spondylitis, lower leg",RHEUMATOID_ARTHRITIS
M08.17,"Juvenile ankylosing spondylitis, ankle and foot",RHEUMATOID_ARTHRITIS
M08.18,"Juvenile ankylosing spondylitis, other site",RHEUMATOID_ARTHRITIS
M08.19,"Juvenile ankylosing spondylitis, site unspecified",RHEUMATOID_ARTHRITIS
M08.20,"Juvenile arthritis with systemic onset, multiple sites",RHEUMATOID_ARTHRITIS
M08.21,"Juvenile arthritis with systemic onset, shoulder region",RHEUMATOID_ARTHRITIS
M08.22,"Juvenile arthritis with systemic onset, upper arm",RHEUMATOID_ARTHRITIS
M08.23,"Juvenile arthritis with systemic onset, forearm",RHEUMATOID_ARTHRITIS
M08.24,"Juvenile arthritis with systemic onset, hand",RHEUMATOID_ARTHRITIS
M08.25,"Juvenile arthritis with systemic onset, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M08.26,"Juvenile arthritis with systemic onset, lower leg",RHEUMATOID_ARTHRITIS
M08.27,"Juvenile arthritis with systemic onset, ankle and foot",RHEUMATOID_ARTHRITIS
M08.28,"Juvenile arthritis with systemic onset, other site",RHEUMATOID_ARTHRITIS
M08.29,"Juvenile arthritis with systemic onset, site unspecified",RHEUMATOID_ARTHRITIS
M08.3,Juvenile polyarthritis (seronegative),RHEUMATOID_ARTHRITIS
M08.40,"Pauciarticular juvenile arthritis, multiple sites",RHEUMATOID_ARTHRITIS
M08.41,"Pauciarticular juvenile arthritis, shoulder region",RHEUMATOID_ARTHRITIS
M08.42,"Pauciarticular juvenile arthritis, upper arm",RHEUMATOID_ARTHRITIS
M08.43,"Pauciarticular juvenile arthritis, forearm",RHEUMATOID_ARTHRITIS
M08.44,"Pauciarticular juvenile arthritis, hand",RHEUMATOID_ARTHRITIS
M08.45,"Pauciarticular juvenile arthritis, pelvic region and thigh",RHEUMATOID_ARTHRITIS
M08.46,"Pauciarticular juvenile arthritis, lower leg",RHEUMATOID_ARTHRITIS
M08.47,"Pauciarticular juvenile arthritis, ankle and foot",RHEUMATOID_ARTHRITIS
M08.48,"Pauciarticular juvenile arthritis, other site",RHEUMATOID_ARTHRITIS
M08.49,"Pauciarticular juvenile arthritis, site unspecified",RHEUMATOID_ARTHRITIS
M08.80,"Other juvenile arthritis, multiple sites",RHEUMATOID_ARTHRITIS
